title,price_gbp,price_excl_tax_gbp,price_incl_tax_gbp,tax_gbp,availability,rating,rating_numeric,number_of_reviews,product_type,UPC,product_url
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,13.99,13.99,0.0,In stock,Two,2,0,Books,0312262ecafa5a40,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,20.66,20.66,20.66,0.0,In stock,Four,4,0,Books,30a7f60cd76ca58c,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,17.46,17.46,17.46,0.0,In stock,Five,5,0,Books,ce6396b0f23f6ecc,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,52.29,52.29,0.0,In stock,Five,5,0,Books,3b1c02bac2a429e6,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,35.02,35.02,35.02,0.0,In stock,Five,5,0,Books,a34ba96d4081e6a4,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,57.25,57.25,0.0,In stock,Three,3,0,Books,deda3e61b9514b83,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,23.88,23.88,23.88,0.0,In stock,One,1,0,Books,feb7cc7701ecf901,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,37.59,37.59,0.0,In stock,One,1,0,Books,e30f54cea9b38190,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,51.33,51.33,51.33,0.0,In stock,Two,2,0,Books,a18a4f574854aced,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,45.17,45.17,45.17,0.0,In stock,Two,2,0,Books,a22124811bfa8350,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,12.84,12.84,12.84,0.0,In stock,One,1,0,Books,23356462d1320d61,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,37.32,37.32,37.32,0.0,In stock,Two,2,0,Books,327f68a59745c102,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,30.52,30.52,0.0,In stock,Three,3,0,Books,5674a18a29a43ced,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),25.27,25.27,25.27,0.0,In stock,Five,5,0,Books,c2e46a2ee3b4a322,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,34.53,34.53,34.53,0.0,In stock,Five,5,0,Books,00bfed9e18bb36f3,https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,54.64,54.64,54.64,0.0,In stock,Three,3,0,Books,9528d0948525bf5f,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,22.5,22.5,0.0,In stock,Three,3,0,Books,c7d160c2c0de586f,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,53.13,53.13,53.13,0.0,In stock,Three,3,0,Books,904208d6aa64b655,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,40.3,40.3,0.0,In stock,Five,5,0,Books,4c28def39d850cdf,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,44.18,44.18,44.18,0.0,In stock,Four,4,0,Books,ccd9ffa25efabdea,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,17.66,17.66,0.0,In stock,Five,5,0,Books,6258a1f6a6dcfe50,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,31.05,31.05,0.0,In stock,Three,3,0,Books,3c039985229453bf,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,23.82,23.82,23.82,0.0,In stock,Five,5,0,Books,5dada2b7be26bd03,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,36.89,36.89,36.89,0.0,In stock,One,1,0,Books,9f6568e9c95f60b0,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,15.94,15.94,15.94,0.0,In stock,Five,5,0,Books,6be3beb0793a53e7,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,33.29,33.29,33.29,0.0,In stock,Three,3,0,Books,668fe56b17cfcd4f,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,18.02,18.02,18.02,0.0,In stock,Two,2,0,Books,094b269567e1c300,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",19.63,19.63,19.63,0.0,In stock,One,1,0,Books,19ed25f4641d5efd,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,52.22,52.22,52.22,0.0,In stock,Four,4,0,Books,be5cc846f45496fb,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,33.63,33.63,33.63,0.0,In stock,Two,2,0,Books,55f9da0c5eea2e10,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,57.31,57.31,57.31,0.0,In stock,Three,3,0,Books,b4fd5943413e089a,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,26.41,26.41,26.41,0.0,In stock,Two,2,0,Books,c8f7f0cb1abb9cac,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),47.61,47.61,47.61,0.0,In stock,Five,5,0,Books,b12b89017878a60d,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,23.11,23.11,0.0,In stock,Five,5,0,Books,c27f6e1f185b0383,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),45.07,45.07,45.07,0.0,In stock,Two,2,0,Books,acddfeab2a407640,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,31.77,31.77,31.77,0.0,In stock,One,1,0,Books,3ecb690d1542c568,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",50.27,50.27,50.27,0.0,In stock,Five,5,0,Books,8d455c7539795d2a,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,14.27,14.27,14.27,0.0,In stock,Four,4,0,Books,657fe5ead67a7767,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,44.18,44.18,0.0,In stock,Four,4,0,Books,d170b5a0da46380e,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,18.78,18.78,18.78,0.0,In stock,Three,3,0,Books,7ae099f3898e0209,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,25.52,25.52,0.0,In stock,One,1,0,Books,9a9d6e9bc555731e,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,16.28,16.28,0.0,In stock,One,1,0,Books,09555be379ad9253,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,31.12,31.12,0.0,In stock,Three,3,0,Books,7858914fad68493c,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,19.49,19.49,19.49,0.0,In stock,Four,4,0,Books,51653ef291ab7ddc,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,17.27,17.27,17.27,0.0,In stock,Five,5,0,Books,709822d0b5bcb7f4,https://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: A Harding Family Story,19.09,19.09,19.09,0.0,In stock,One,1,0,Books,4eed62cf5f8d8edf,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,56.13,56.13,56.13,0.0,In stock,One,1,0,Books,b5ea0b5dabed25a8,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,56.41,56.41,0.0,In stock,One,1,0,Books,142d767a56a9254d,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,56.5,56.5,56.5,0.0,In stock,Four,4,0,Books,5ee94540d0749ea0,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),45.22,45.22,45.22,0.0,In stock,Three,3,0,Books,cedf82b5086e4691,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The Nameless City #1),38.16,38.16,38.16,0.0,In stock,Four,4,0,Books,7d385d34d12e60ff,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),54.11,54.11,54.11,0.0,In stock,Three,3,0,Books,d01ac97e2b8947c2,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,42.96,42.96,0.0,In stock,Four,4,0,Books,aadee1c326d286e3,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,23.89,23.89,0.0,In stock,Four,4,0,Books,31075275518532d7,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,16.77,16.77,0.0,In stock,Three,3,0,Books,0da9aa9d24677fc0,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,20.59,20.59,0.0,In stock,Five,5,0,Books,8c9e6bf2467d740d,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,37.13,37.13,0.0,In stock,One,1,0,Books,acd86a5426e21ca0,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,56.06,56.06,0.0,In stock,One,1,0,Books,a30b270e25489e5c,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
The Death of Humanity: and the Case for Life,58.11,58.11,58.11,0.0,In stock,Four,4,0,Books,bd261725b99f5983,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,49.05,49.05,0.0,In stock,Three,3,0,Books,43c6a960757cf559,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Art Forger,40.76,40.76,40.76,0.0,In stock,Three,3,0,Books,80cfab6bcff3a244,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,19.73,19.73,0.0,In stock,One,1,0,Books,a3d2a4250807f1e9,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,32.24,32.24,0.0,In stock,Five,5,0,Books,7d6d2a6c0276f81b,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,41.83,41.83,0.0,In stock,Four,4,0,Books,87b0615b6e1f4d7b,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Soul Reader,39.58,39.58,39.58,0.0,In stock,Two,2,0,Books,e6af5bf1163c1151,https://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,39.25,39.25,39.25,0.0,In stock,Two,2,0,Books,6f78a0d744c35456,https://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,25.02,25.02,0.0,In stock,Three,3,0,Books,c849f0b2f5d6a742,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,51.04,51.04,0.0,In stock,Two,2,0,Books,53a3d11bb568cc8b,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,19.83,19.83,0.0,In stock,Two,2,0,Books,d7310206583a54b6,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,50.4,50.4,0.0,In stock,Three,3,0,Books,c82a3e358c773c73,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,13.61,13.61,0.0,In stock,Five,5,0,Books,0fa6dceead7ce47a,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),13.34,13.34,13.34,0.0,In stock,Five,5,0,Books,0e691eda369f4e09,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Pop Gun War, Volume 1: Gift",18.97,18.97,18.97,0.0,In stock,One,1,0,Books,e80f8e518b300dfe,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,36.28,36.28,0.0,In stock,Two,2,0,Books,7392c0032f92d816,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Patience,10.16,10.16,10.16,0.0,In stock,Three,3,0,Books,9429b4d59c537af5,https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,15.44,15.44,0.0,In stock,Four,4,0,Books,889139b8e9c4cb36,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,48.41,48.41,0.0,In stock,One,1,0,Books,11809b1d323b3057,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,46.35,46.35,0.0,In stock,One,1,0,Books,9ffa38d3b832433a,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
On a Midnight Clear,14.07,14.07,14.07,0.0,In stock,Three,3,0,Books,b757c0c361e689ce,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
Obsidian (Lux #1),14.86,14.86,14.86,0.0,In stock,Two,2,0,Books,3c346ab1e76ae1f6,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
My Paris Kitchen: Recipes and Stories,33.37,33.37,33.37,0.0,In stock,Two,2,0,Books,784bc2279baa878d,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Masks and Shadows,56.4,56.4,56.4,0.0,In stock,Two,2,0,Books,fa9610a50a1bf149,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,14.02,14.02,0.0,In stock,Four,4,0,Books,72f9d5be3472d34e,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,46.91,46.91,0.0,In stock,Two,2,0,Books,460089f796fb3f82,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,45.61,45.61,0.0,In stock,Three,3,0,Books,b6ee99bcf06fc91f,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,19.92,19.92,0.0,In stock,Two,2,0,Books,57e5a4d515c8ce44,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,40.11,40.11,0.0,In stock,One,1,0,Books,7b75cc7f223791f4,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,53.9,53.9,0.0,In stock,Two,2,0,Books,228f74b74f3a08ae,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
Join,35.67,35.67,35.67,0.0,In stock,Five,5,0,Books,18ad3ed896c7ce05,https://books.toscrape.com/catalogue/join_902/index.html
In the Country We Love: My Family Divided,22.0,22.0,22.0,0.0,In stock,Four,4,0,Books,b136b1b180ca753a,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,57.36,57.36,0.0,In stock,Five,5,0,Books,e4f74c16de34d440,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,29.17,29.17,0.0,In stock,Two,2,0,Books,8d4eefad7a2b3915,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,54.63,54.63,54.63,0.0,In stock,Three,3,0,Books,1c89ae5bb804e4de,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
How to Be Miserable: 40 Strategies You Already Use,46.03,46.03,46.03,0.0,In stock,One,1,0,Books,a6f99b9e687f9d46,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
Her Backup Boyfriend (The Sorensen Family #1),33.97,33.97,33.97,0.0,In stock,One,1,0,Books,2a97cffe61c3c4c7,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,22.11,22.11,0.0,In stock,Two,2,0,Books,f2df3bb043a8abb0,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,29.69,29.69,0.0,In stock,Three,3,0,Books,9beb96a2300109d7,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
First and First (Five Boroughs #3),15.97,15.97,15.97,0.0,In stock,Four,4,0,Books,9e28048cea8d41f7,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),21.96,21.96,21.96,0.0,In stock,One,1,0,Books,7add3f8e49ec0826,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,54.35,54.35,0.0,In stock,Two,2,0,Books,311c0dd0e354a33e,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,37.97,37.97,0.0,In stock,Two,2,0,Books,fce19f9b4a943f22,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
Danganronpa Volume 1,51.99,51.99,51.99,0.0,In stock,Four,4,0,Books,09b6cc87e62c2c58,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
Crown of Midnight (Throne of Glass #2),43.29,43.29,43.29,0.0,In stock,Three,3,0,Books,7267864328ae8b9d,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,36.72,36.72,0.0,In stock,Four,4,0,Books,8754c83ab2a7ae71,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,17.08,17.08,17.08,0.0,In stock,Four,4,0,Books,7b599c8bfcdd8d30,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,29.14,29.14,0.0,In stock,Five,5,0,Books,bee3672891cca906,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Burning,28.81,28.81,28.81,0.0,In stock,Three,3,0,Books,5ceb951f629700a2,https://books.toscrape.com/catalogue/burning_884/index.html
Bossypants,49.46,49.46,49.46,0.0,In stock,Two,2,0,Books,74baabfc8fd84b38,https://books.toscrape.com/catalogue/bossypants_883/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,37.92,37.92,0.0,In stock,Two,2,0,Books,bdf415fd484ea8a7,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,28.09,28.09,0.0,In stock,Two,2,0,Books,6d5300b2d8f37e07,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
Algorithms to Live By: The Computer Science of Human Decisions,30.81,30.81,30.81,0.0,In stock,One,1,0,Books,38d45839cb1c83c1,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A World of Flavor: Your Gluten Free Passport,42.95,42.95,42.95,0.0,In stock,One,1,0,Books,70ed59f194b3c556,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,56.76,56.76,0.0,In stock,Five,5,0,Books,8a380641491d43ed,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
A Murder in Time,16.64,16.64,16.64,0.0,In stock,One,1,0,Books,f733e8c19d40ec2e,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
A Flight of Arrows (The Pathfinders #2),55.53,55.53,55.53,0.0,In stock,Five,5,0,Books,3a6fb983e2554023,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
A Fierce and Subtle Poison,28.13,28.13,28.13,0.0,In stock,Four,4,0,Books,842790dfaa937484,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,52.37,52.37,0.0,In stock,One,1,0,Books,01d2001ac1e6f8a3,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
